央视,#genre#
北京卫视,http://113.220.235.19:9999/tsfile/1ive/0122_1.m3u8

天津卫视,http://113.249.22.86:9999/rtp/235.254.198.67:1544
天津卫视,http://110.183.52.70:808/hls/44/index.m3u8

香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8

港澳,#genre#

凤凰卫视,http://kxrj.site:8081/9653/fh.php?id=fhzw
凤凰卫视,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8
凤凰卫视,https://stream1.freetv.fun/16bc0b847b4c0a5a1a8645fc01576a0a28d5d8667bad711c48e5d80d12d2d329.ctv

凤凰资讯,http://kxrj.site:8081/9653/fh.php?id=fhzx
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx

凤凰香港,http://kxrj.site:8081/9653/fh.php?id=fhhk
凤凰香港,http://203.205.220.174:80/qctv.fengshows.cn/live/0701phk72.m3u8
凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8

星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0

翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8
翡翠台,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn

明珠台,
明珠台,http://aktv.top/AKTV/live/aktv/null-2/AKTV.m3u8

星河台,http://cdn9.1689.us.kg/smt1.1.php?id=Xinhe
星河台,http://aktv.top/AKTV/live/aktv2/tvb/AKTV.m3u8
星河台,http://php.jdshipin.com:8880/smt.php?id=Xinhe

爆谷台, http://aktv.top/AKTV/live/aktv2/null/AKTV.m3u8


番薯台，
面包台,

TVBS,http://aktv.top/AKTV/live/aktv/tvbs/AKTV.m3u8



NewTV(加密),#genre#
精品大剧,
http://39.134.135.125/000000002001/PLTV/88888888/224/3221236205/index.m3u8?HlsProfileId=
精品纪录,
http://39.134.134.84/000000002001/PLTV/88888888/224/3221236204/index.m3u8?HlsProfileId=
精品体育,
http://39.134.134.88/000000002001/PLTV/88888888/224/3221236208/index.m3u8?HlsProfileId=
精品萌宠,
http://39.134.134.43/000000002001/PLTV/88888888/224/3221284696/index.m3u8?HlsProfileId=
爱情喜剧,
http://39.134.135.82/000000002001/PLTV/88888888/224/3221236215/index.m3u8?HlsProfileId=
超级电视,
http://39.134.134.88/000000002001/PLTV/88888888/224/3221235788/index.m3u8?HlsProfileId=
超级电影,
http://39.134.134.82/000000002001/PLTV/88888888/224/3221235755/index.m3u8?HlsProfileId=
超级体育,
http://39.134.134.82/000000002001/PLTV/88888888/224/3221248116/index.m3u8?HlsProfileId=
超级综艺,
http://39.134.134.84/000000002001/PLTV/88888888/224/3221235747/index.m3u8?HlsProfileId=
潮妈辣婆,
http://39.134.134.82/000000002001/PLTV/88888888/224/3221236059/index.m3u8?HlsProfileId=
动作电影,
http://39.134.134.82/000000002001/PLTV/88888888/224/3221236207/index.m3u8?HlsProfileId=
古装剧场，
http://39.134.134.88/000000002001/PLTV/88888888/224/3221236213/index.m3u8?HlsProfileId=
欢乐剧场，
http://39.134.134.49/000000002001/PLTV/88888888/224/3221284694/index.m3u8?HlsProfileId=
家庭剧场，
http://39.134.135.82/000000002001/PLTV/88888888/224/3221236206/index.m3u8?HlsProfileId=
金牌综艺，
http://39.134.135.82/000000002001/PLTV/88888888/224/3221236206/index.m3u8?HlsProfileId=
惊悚悬疑，
http://39.134.134.45/000000002001/PLTV/88888888/224/3221285311/index.m3u8?HlsProfileId=
军旅剧场，
http://39.134.134.82/000000002001/PLTV/88888888/224/3221236212/index.m3u8?HlsProfileId=
军事评论，
http://39.134.135.125/000000002001/PLTV/88888888/224/3221236210/index.m3u8?HlsProfileId=
农业致富,
http://39.134.134.88/000000002001/PLTV/88888888/224/3221236147/index.m3u8?HlsProfileId=
武搏世界,
http://39.134.134.84/000000002001/PLTV/88888888/224/3221236216/index.m3u8?HlsProfileId=
炫舞未来,
http://39.134.134.43/000000002001/PLTV/88888888/224/3221235764/index.m3u8?HlsProfileId=
怡伴健康,
http://39.134.134.43/000000002001/PLTV/88888888/224/3221236209/index.m3u8?HlsProfileId=
中国功夫,
http://39.134.135.84/000000002001/PLTV/88888888/224/3221236214/index.m3u8?HlsProfileId=
海外剧场,
http://39.134.135.82/000000002001/PLTV/88888888/224/3221236211/index.m3u8?HlsProfileId=


影视,#genre#

美亚电影,http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8

PopC电影,http://aktv.top/AKTV/live/aktv/popc/AKTV.m3u8

RockAction,http://aktv.top/AKTV/live/aktv/rockaction/AKTV.m3u8

龙华经典,http://aktv.top/AKTV/live/aktv/null-7/AKTV.m3u8

龙华日韩,http://aktv.top/AKTV/live/aktv/null-22/AKTV.m3u8

龙华电影,http://aktv.top/AKTV/live/aktv/null-23/AKTV.m3u8

千禧经典,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8

靖天电影,http://aktv.top/AKTV/live/aktv/null-6/AKTV.m3u8

CHC动作电影,http://183.94.146.109:2222/tsfile/live/1019_1.m3u8
CHC动作电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcdzdy

CHC家庭影院,http://183.94.146.109:2222/tsfile/live/1018_1.m3u8
CHC家庭影院,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcjtyy

CHC影迷电影,http://183.94.146.109:2222/tsfile/live/1020_1.m3u8
CHC影迷电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcymdy

Astr剧集,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod

澳门莲花,http://php.jdshipin.com:8880/amlh.php

千禧经典,https://www.mytvsuper.xyz/astro/qianxi/stream.m3u8

黑莓电影, http://39.134.134.51/000000002001/PLTV/88888888/224/3221285249/index.m3u8?HlsProfileId=

邵氏电影,http://maomao.kandiantv.cn/douyu1.php?id=4246519

豆瓣TOP,http://zzy789.xyz/douyu1.php?id=8770422


剧集,#genre#

爱情公寓,

寻秦记,

封神榜, 

西游记Ⅰ,

西游记Ⅱ, 

天下第一, 

仙剑奇侠传Ⅰ, 

仙剑奇侠传Ⅲ, 


动漫,#genre#

猫和老鼠,http://cfss.cc/cdn/hy/11352879.m3u8

七龙珠,https://live.iill.top/huya/11601966

海贼王,https://live.iill.top/huya/16913382

哆啦A梦,http://159.75.85.63:35455/huya/11601963

蜡笔小新,http://159.75.85.63:35455/huya/11352970

海绵宝宝,http://159.75.85.63:35455/huya/11352919

灌篮高手,https://live.iill.top/yy/1382735626  

火影忍者,http://159.75.85.63:35455/huya/11342385

中华小当家,http://159.75.85.63:35455/huya/24257300

名侦探柯南,

迪迦奥特曼,

金鹰卡通, 

嘉佳卡通, 

优漫卡通, 

动漫秀场, 

卡酷少儿, 

哈哈炫动, 

黑莓动画, 
http://39.134.134.45/000000002001/PLTV/88888888/224/3221284660/index.m3u8?HlsProfileId=

体育,#genre#


春晚,#genre#
1995,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQwNzVfMF8z_b_B811c0dec6b9a3d3074a18522c185010a.mp4
1996,https://alimov2.a.kwimgs.com/upic/2023/01/13/22/BMjAyMzAxMTMyMjEwMDNfNDAzMDAxOTlfOTM1MTIzMzYxNTJfMF8z_b_Bd841eae10ab1c9955ef55fbedfae6c45.mp4
1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
1999,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQxNTRfMF8z_b_B0b5e52bc003285ef66ec0cbb2be08556.mp4
2000,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxMTNfMF8z_b_Bdddf4e7ef0ff6cfd477857bb40e78419.mp4
2001,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyMDFfMF8z_b_B70592cb7c4054e9cabb675e849bbf4bd.mp4
2002,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxNDdfMF8z_b_Ba6271d10b7e6cfae83759033a091f257.mp4
2003,https://alimov2.a.kwimgs.com/upic/2023/01/14/23/BMjAyMzAxMTQyMzQxNDdfNDAzMDAxOTlfOTM2MTU0MTk1NDFfMF8z_b_B182749d2cd2ea9323639254af385f24b.mp4
2004,https://alimov2.a.kwimgs.com/upic/2023/01/13/21/BMjAyMzAxMTMyMTE4MzRfNDAzMDAxOTlfOTM1MDY4ODIxOTVfMF8z_b_B86c4430b82ff5a7f4e8132f6ee558536.mp4
2005,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyMzhfMF8z_b_B35ad7cc86aec8fc9e5ddfb31fc7bed63.mp4
2006,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQyNzlfMF8z_b_Bbc3703fc331dc994c50859c19aad28ff.mp4
2007,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQzMjNfMF8z_b_B00b069c7899976459ceeaa99353dfefe.mp4
2008,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQzNTNfMF8z_b_Bd7346962e61bd7b84e11a1fa6e4616f9.mp4
2009,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQzOTBfMF8z_b_B29a36a85e0277f6c2a1f033ef7c10708.mp4
2010,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ0MjlfMF8z_b_B8818807a00eed329a69fb494f405bd43.mp4
2011,https://alimov2.a.kwimgs.com/upic/2023/01/16/11/BMjAyMzAxMTYxMTA3MjFfNDAzMDAxOTlfOTM3MjcyMjA3ODhfMF8z_b_B8214200efc869dc6fcf99dad619fa4c1.mp4
2012,https://cdn8.yzzy-online.com/20220704/591_82b72f82/1000k/hls/index.m3u8
2013,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ1NjNfMF8z_b_B4fea55408dca4471a68a963ae096be59.mp4
2014,https://alimov2.a.kwimgs.com/upic/2023/01/06/16/BMjAyMzAxMDYxNjMxMTNfNDAzMDAxOTlfOTI4OTY2ODAzNjlfMF8z_b_Bdee65c77f9e7b2120a185c919dad81d2.mp4
2015,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ2MTZfMF8z_b_B4851f43f5a2bc2871a9b0ec87294a6e7.mp4
2016,https://cdn8.yzzy-online.com/20220704/577_cda9c8d1/1000k/hls/index.m3u8
2017,https://cdn8.yzzy-online.com/20220704/577_cda9c8d1/1000k/hls/index.m3u8
2017,https://alimov2.a.kwimgs.com/upic/2023/01/13/20/BMjAyMzAxMTMyMDA5MjJfNDAzMDAxOTlfOTM0OTkwNDQ2NDhfMF8z_b_B6527b0c2ce3dda1d9b3f34edd4fdb9aa.mp4
2018,https://cdn8.yzzy-online.com/20220704/610_ae5255ad/1000k/hls/index.m3u8
2019,https://alimov2.a.kwimgs.com/upic/2023/01/06/16/BMjAyMzAxMDYxNjMxMTRfNDAzMDAxOTlfOTI4OTY2ODE2MTBfMF8z_b_B11a778e34390a21de42d407e94f45b91.mp4
2020,https://alimov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzA5NDdfNDAzMDAxOTlfNjYxNzQ2MDAyMTFfMF8z_b_B5d51d9564c5670dc66faeba20aa7af3f.mp4
2021,https://alimov2.a.kwimgs.com/upic/2022/01/30/17/BMjAyMjAxMzAxNzE4NTJfNDAzMDAxOTlfNjYxNzUzOTg3NjlfMF8z_b_Be41d9503181d7b0608a839ed401e02c2.mp4
2022,https://alimov2.a.kwimgs.com/upic/2022/02/01/11/BMjAyMjAyMDExMTEwMjNfNDAzMDAxOTlfNjYzNzA4MTk4NzNfMF8z_b_B898cc7ddd0025bf54ddb18ec1f723c84.mp4
2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8
2024,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
2024,https://ikcdn01.ikzybf.com/20240205/QBNgom4j/2000kb/hls/index.m3u8

